source,category,title,text
https://www.nbcnews.com/politics/national-security/tulsi-gabbard-cia-director-john-ratcliffe-rcna223285,Politics,Politics 1,"Tensions rise between Tulsi Gabbard and CIA Director John Ratcliffe after she disclosed an undercover officer's name, insiders say."
https://www.nbcnews.com/politics/national-security/tulsi-gabbard-cia-director-john-ratcliffe-rcna223285,Politics,Politics 2,CIA Director John Ratcliffe previously clashed with the national intelligence chief over declassifying a document related to Russian election interference despite CIA objections.
https://www.nbcnews.com/news/us-news/federal-judge-halts-trump-administration-expand-fast-track-deportation-rcna228162,Politics,Politics 3,"A federal judge halts the Trump administration's effort to expand fast-track deportations, ruling migrants must be afforded due process."
https://www.nbcnews.com/politics/justice-department/attorney-general-pam-bondi-fires-doj-staffer-alleged-obscene-gesture-n-rcna228160,Politics,Politics 4,Attorney General Pam Bondi fires a DOJ staffer for allegedly making an obscene gesture toward National Guard members.
https://www.nbcnews.com/politics/congress/jeffrey-epstein-birthday-book-donald-trump-congress-subpoena-rcna228146,Politics,Politics 5,"Jeffrey Epstein's estate is set to provide a ""birthday book"" to Congress, with Rep. Robert Garcia saying victims will meet lawmakers next week."
https://www.nbcnews.com/politics/congress/former-congressman-randy-duke-cunningham-dies-83-bribery-scandal-rcna228152,Politics,Politics 6,"Former Congressman Randy ""Duke"" Cunningham, convicted in a bribery scandal, dies at 83 after serving eight terms in Congress."
https://www.nbcnews.com/politics/trump-administration/live-blog/legal-battle-lisa-cook-ouster-trump-federal-reserve-dc-live-updates-rcna226882,Politics,Politics 7,"An appeals court says Trump overstepped with tariffs, while Missouri's Republican governor calls a special session to rework congressional maps."
https://www.nbcnews.com/politics/trump-administration/live-blog/legal-battle-lisa-cook-ouster-trump-federal-reserve-dc-live-updates-rcna226882,Politics,Politics 8,"A judge holds a hearing on Trump's attempt to fire Federal Reserve governor Lisa Cook, but no ruling is issued."
https://www.nbcnews.com/politics/2026-election/republican-sen-joni-ernst-wont-seek-re-election-iowa-2026-rcna228053,Politics,Politics 9,"Republican Sen. Joni Ernst announces she won't seek re-election in Iowa in 2026, facing criticism from the right over Trump's Pentagon pick."
https://www.nbcnews.com/politics/doge/social-security-whistleblower-submits-involuntary-resignation-citing-i-rcna228095,Politics,Politics 10,"Social Security whistleblower Charles Borges resigns, alleging retaliation by the agency as chief data officer."
